The Use of Commodities by Industries, After Redefinitions (Producers' Prices);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 511;Publishing industries, except internet (includes software);124;2;10;1;1;114;131;5;15;12;50;55;118;21;26;77;11;56;24;5;2;4;59;1;52;16;669;43;115;21;643;16;21;0;43;3;0;95;35;12554;114;255;555;391;791;265;14;0;331;646;367;397;2859;1350;1173;16;551;818;395;112;1041;46;85;118;91;921;669;663;357;5894;48;36583;...;36583;76581;...;...;62029;...;149;31951;-4879;...;...;...;1258;...;...;...;1568;...;...;...;3557;172214;0;172214;208797
 512;Motion picture and sound recording industries;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;39;193;179;0;1;31;...;0;1;...;...;9;0;107;21602;26963;9;13;11;1;...;0;51;3;9;17;1362;147;66;...;1216;35;7;561;493;609;39;495;487;517;1793;176;72;344;...;57658;...;57655;30488;...;...;35538;...;28;16293;-5047;...;...;...;...;...;...;...;...;...;...;...;...;77301;0;77301;134956
 513;Broadcasting and telecommunications;279;13;253;176;358;459;3313;391;504;300;1217;1305;1705;282;468;694;680;750;1191;165;90;462;646;154;1071;698;9394;1130;603;507;5509;666;31;478;1338;416;97;735;657;2033;1382;89430;2911;4802;11869;3365;196;1;17674;2170;3221;3550;8402;5351;7318;349;1980;5209;3547;954;1187;740;763;1057;2493;4201;4189;2213;633;29143;258;261776;...;261774;256195;...;7712;19984;...;...;9856;-142;...;...;...;...;...;...;...;...;...;...;...;...;293606;0;293606;555380
 514;Data processing, internet publishing, and other information services;0;1;58;6;10;1490;396;452;514;322;1015;1112;625;168;382;845;358;597;923;132;66;469;347;49;542;488;2062;572;581;601;2580;487;1;0;27;28;35;86;24;2532;367;1289;2277;2594;15301;1457;209;0;1071;1766;1288;1027;6311;4789;6735;404;1807;819;1481;184;321;304;295;279;1194;2474;7844;6647;443;9824;812;102596;...;102595;6218;...;...;...;...;...;2661;-436;...;...;...;...;...;...;...;...;...;...;...;...;8442;0;8442;111037
 521CI;Federal Reserve banks, credit intermediation, and related activities;3935;169;452;558;649;11802;5405;600;1379;1104;2144;2017;1035;534;880;662;624;1106;3857;430;240;666;753;337;1513;1767;16050;1891;2404;745;13204;1199;3746;209;3894;1794;197;976;401;4239;1951;2761;1254;84771;29298;12522;1526;47118;29399;16620;3103;3557;20939;15177;7281;417;2270;7550;1905;2205;894;718;3089;1904;3245;13431;0;39;3078;6833;8591;429013;...;429014;206951;...;...;...;...;...;22190;-64;...;...;...;...;...;...;...;...;...;...;...;...;229077;0;229077;658091
 523;Securities, commodity contracts, and investments;555;77;64;828;1403;1725;2938;79;220;1923;3101;3142;848;496;1498;1225;823;1538;469;47;25;87;210;74;129;265;1920;214;262;46;1315;407;1095;2198;1139;322;107;439;66;1119;616;503;189;70957;59737;4622;90455;2;3411;1364;1313;645;4134;6580;2660;98;498;2284;10195;767;2993;564;264;340;1352;17440;...;0;126;5302;3553;327402;...;327402;149190;...;...;...;...;...;45796;...;...;...;...;...;...;...;...;...;...;...;...;...;194987;0;194987;522389
 524;Insurance carriers and related activities;5412;131;209;431;448;698;83;229;433;294;533;930;848;434;499;231;233;368;1381;238;540;248;252;97;1254;348;16464;1553;1072;512;5485;458;12;834;8998;1877;104;2562;582;1720;1925;588;379;16127;13534;212050;1281;5901;17307;3883;4143;1210;10741;1120;8016;1629;1037;19355;31013;2556;2319;2344;2182;2083;4075;4186;...;3312;1169;24;3573;438097;...;438102;288151;...;...;...;10531;...;11565;-46900;...;...;...;...;...;...;...;...;...;...;...;...;263346;0;263346;701448
 525;Funds, trusts, and other financial vehicles;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;4788;5836;1744;...;...;...;...;...;...;3;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;12371;...;12372;124034;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;124034;0;124034;136405
 HS;Housing;0;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0;...;...;...;...;...;...;...;...;0;...;0;1478793;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1478793;0;1478793;1478793
 ORE;Other real estate;1751;44;130;44;59;3727;6477;234;133;75;763;143;57;82;24;77;280;142;365;104;63;165;238;7;111;257;42330;5298;13216;12662;64347;1869;152;1249;4414;331;270;2962;8439;4596;2431;13442;3373;8547;28306;8102;633;1993;133406;7805;18729;7988;69497;13172;14342;1544;18818;48270;17217;19726;14926;7225;9541;3204;34689;50538;192;6143;1366;29234;3264;775350;...;775353;4111;3383;...;...;108334;...;3048;...;...;...;...;...;...;...;...;...;...;...;...;...;118876;0;118876;894229
 532RL;Rental and leasing services and lessors of intangible assets;3243;176;4347;1907;2212;1434;14385;405;979;800;2844;2841;3914;687;1896;1733;288;1762;4355;177;274;1250;1073;441;5598;1141;13317;589;1057;688;6733;7242;2351;45;9976;1481;18;1728;692;5645;2242;7216;5944;1703;5141;2549;17;2;4595;4259;2217;1691;14052;13979;5405;1441;2506;6568;5475;702;502;1641;1180;1283;5583;2811;315;83;259;8505;609;222199;...;222199;75722;...;...;...;...;...;48316;...;...;...;...;...;...;...;...;...;...;...;...;...;124038;0;124038;346237
 5411;Legal services;610;115;380;645;2114;6448;3685;288;325;250;644;911;988;156;372;374;210;829;845;114;55;296;266;184;999;455;6958;313;381;383;2072;1918;373;268;105;336;117;464;371;2089;1055;3228;967;5447;8316;9270;846;274;9077;4667;2347;2801;27457;8809;3897;404;426;4382;7666;919;584;1292;5049;628;1639;2355;1284;569;949;10341;811;166462;...;166462;90334;...;...;...;23674;...;9852;-1938;...;...;...;...;...;...;...;...;...;...;...;...;121922;0;121922;288384
 5415;Computer systems design and related services;355;35;341;40;24;1317;1378;171;193;189;635;989;1303;84;314;1053;139;345;527;78;41;195;424;155;537;305;3763;486;244;249;1952;438;433;13;134;42;10;206;195;2497;849;1678;3589;2258;7980;2055;138;28;4896;5005;1848;2800;8027;11441;4949;111;1029;2238;3705;600;453;231;538;285;702;1399;10956;14919;169;10379;1095;128179;...;128181;...;...;15152;173861;...;...;8640;-14024;...;...;1837;5023;...;...;...;12316;...;...;1332;7436;211571;0;211571;339753
 5412OP;Miscellaneous professional, scientific, and technical services;1726;636;1611;1852;2593;13678;32428;2445;2862;2839;7000;5633;6517;1390;3039;3812;2358;5524;9038;1070;853;2688;3200;794;8384;4090;59397;7300;6131;7117;40572;2117;1565;1876;2523;1572;1680;1884;2183;18616;9707;42298;7934;33679;36273;17508;1875;177;28637;12346;9978;17137;148139;43729;25855;2094;4525;23461;19333;5436;3769;6750;6967;8876;17845;15002;38977;19424;2150;42505;16508;951487;...;951490;54386;...;37223;224558;2183;...;72096;-47461;...;...;...;65370;...;...;...;57161;...;...;...;14103;479619;0;479619;1431109
 55;Management of companies and enterprises;...;...;7844;1886;1077;...;1864;3146;4247;3148;6796;7984;11443;2824;18480;10190;1844;7588;23704;2192;860;5526;3396;3145;46440;5008;44742;253;1863;16384;15330;530;...;378;4374;157;...;2133;256;3625;367;1230;871;11413;15628;2494;280;3;5000;2072;3582;3188;13888;...;11881;1642;834;22692;4623;2152;1564;1790;1377;4043;30504;6360;...;...;...;...;...;420135;...;420133;...;...;...;...;...;...;308;...;...;...;...;...;...;...;...;...;...;...;...;...;308;0;308;420440
 561;Administrative and support services;677;67;97;348;1017;6412;4815;1017;1522;2445;5667;2552;5277;713;1833;4357;560;1126;3109;448;819;1786;3851;741;3013;1759;27797;1874;2545;1221;12061;2298;767;1252;3948;1206;520;4346;2257;7398;1760;7718;4868;16249;14111;9401;124;471;123077;14819;8654;15726;39498;6864;20870;2533;3484;19777;18807;4146;2429;3068;2425;3865;6007;7357;14377;3226;2223;32787;5741;541980;...;541980;43455;...;...;...;...;...;2637;-1221;...;...;...;...;...;...;...;...;...;...;...;...;44872;0;44872;586852
 562;Waste management and remediation services;14;9;370;200;70;659;1646;190;340;355;561;357;386;137;327;301;172;217;1465;153;34;418;202;253;2573;381;1488;345;525;220;1267;172;37;2656;402;1172;65;978;318;104;61;182;62;10;467;585;...;13;11355;565;65;108;1226;662;1245;8135;694;1293;1258;738;384;146;532;1005;1539;1126;401;110;123;15454;2245;73328;...;73327;15473;...;...;...;...;...;44;-133;...;...;...;...;...;...;...;...;...;...;...;...;15384;0;15384;88711
 61;Educational services;173;68;0;...;...;119;19;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;50;3;...;1;462;17;350;...;1827;37;9;...;...;...;4;8;...;...;...;118;58;49;10;...;...;0;...;...;...;22;36;...;152;...;2038;7;69;...;...;1086;161;...;...;1462;893;108;210;7540;11;17177;...;17176;251178;...;...;...;...;...;1954;-744;...;...;...;...;...;...;...;...;...;...;...;...;252387;0;252387;269563
 621;Ambulatory health care services;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;207;...;64;...;...;7412;10518;43;...;52;2;...;...;30;...;408;...;1548;...;20284;...;20283;703056;...;...;...;...;...;74;...;...;...;...;...;...;...;...;...;...;...;...;...;703131;0;703131;723413
 622;Hospitals;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;323;...;...;...;...;...;...;...;...;...;...;...;...;323;...;323;649837;...;...;...;...;...;534;-1832;...;...;...;...;...;...;...;...;...;...;...;...;648539;0;648539;648862
 623;Nursing and residential care facilities;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1382;...;325;...;1707;...;1706;170279;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;170279;0;170279;171985
 624;Social assistance;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;12;...;1373;...;1385;...;1385;134152;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;134152;0;134152;135538
 711AS;Performing arts, spectator sports, museums, and related activities;79;6;0;1;6;98;158;66;68;67;126;126;45;14;50;42;30;60;181;23;11;73;77;36;70;107;870;143;188;17;449;28;206;0;67;4;...;90;43;346;7184;11170;165;1483;680;317;58;0;1790;143;472;313;3158;1835;1385;78;385;427;341;141;193;13749;761;218;1209;967;1000;62;56;607;34;54452;...;54453;56634;...;...;4030;...;...;2165;-270;...;...;...;...;...;...;...;...;...;...;...;...;62559;0;62559;117012
 713;Amusements, gambling, and recreation industries;76;1;0;2;13;132;111;35;44;30;93;83;45;6;30;28;28;49;95;7;4;37;67;13;47;61;390;3;61;0;487;0;1;...;1;...;...;6;1;174;47;114;184;853;314;223;16;0;345;54;199;312;841;711;759;62;183;408;18;62;67;82;31;363;262;101;746;4;4;998;190;10814;...;10814;146496;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;146496;0;146496;157310
 721;Accommodation;5;0;1;11;53;739;774;154;200;141;415;386;206;32;142;123;124;225;425;34;15;165;568;56;220;347;695;9;83;2;275;2;6;...;3;49;7;154;50;884;272;593;964;4361;1626;1099;83;1;2464;465;816;1715;4008;438;2723;455;611;1445;94;183;172;86;138;198;744;444;1392;488;46;2918;132;38954;...;38948;95362;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;95362;0;95362;134310
 722;Food services and drinking places;201;0;2;17;545;2679;1011;447;512;444;1005;980;430;99;371;314;274;520;1238;132;64;492;659;230;546;690;3140;258;291;84;1307;1748;5;0;467;21;7;191;27;1387;479;854;1440;11730;2348;2916;340;1;10901;1092;2151;3072;11559;1995;6144;609;1055;6286;4925;905;1225;200;344;1960;1996;1406;1063;210;949;15112;277;118379;...;118381;491147;...;...;...;...;...;2132;...;...;...;...;...;...;...;...;...;...;...;...;...;493280;0;493280;611661
 81;Other services, except government;605;243;39;82;374;964;4447;481;868;1196;1466;987;1121;309;804;556;273;485;2023;240;63;1107;645;537;2071;880;14765;1082;2219;864;6175;126;79;60;1165;437;97;1210;1664;1350;290;4401;1641;11583;3234;1488;75;80;9701;4125;1245;1720;10638;5757;7442;1760;2069;5907;11444;1726;894;1033;1829;1489;6167;6381;1826;408;816;17776;1457;180561;...;180562;488994;...;...;...;...;...;226;-2667;...;...;...;...;...;...;...;...;...;...;...;...;486553;0;486553;667115
 GFGD;Federal general government (defense);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;526072;...;...;...;...;...;...;...;...;...;...;...;526072;0;526072;526072
 GFGN;Federal general government (nondefense);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;272278;...;...;...;...;...;...;...;272278;0;272278;272278
 GFE;Federal government enterprises;49;8;...;6;0;395;33;0;...;39;73;773;66;347;0;0;0;49;0;5;...;0;221;63;117;0;11005;469;451;857;3538;...;0;595;9796;149;116;7601;505;1707;612;242;871;2570;3830;487;0;0;192;690;429;243;3569;274;1680;181;495;1087;1262;302;324;235;163;1688;3204;1312;1;195;0;2598;160;67929;...;67932;9915;...;...;...;...;...;335;-452;...;...;...;...;...;...;...;...;...;...;...;...;9798;0;9798;77730
 GSLG;State and local general government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1411371;...;...;...;1411371;0;1411371;1411371
 GSLE;State and local government enterprises;...;4;...;...;...;379;...;55;125;136;196;122;165;57;131;111;47;75;594;61;13;161;65;96;1138;123;500;89;219;90;481;...;...;...;42;...;...;3;132;57;45;85;35;124;255;93;...;...;524;449;260;104;886;277;726;77;90;400;379;247;938;59;125;402;634;488;559;253;253;3236;643;18113;...;18111;50615;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;50615;0;50615;68727
 Used;Scrap, used and secondhand goods;-45;1;...;-27;29;101;88;...;129;17744;189;2;...;...;...;...;...;2;...;24;...;1951;...;...;28;43;0;5;...;...;1;-206;...;-54;-221;...;4;782;...;...;1;1;...;...;...;...;...;...;...;-25;...;...;0;200;...;...;22;11;...;...;...;-57;223;...;0;1372;-8;...;...;...;...;22310;...;22312;67057;-2923;-91503;...;-3980;2722;25032;-12054;...;-4;0;...;...;15;-33;...;...;6892;-3311;...;-12089;0;-12089;10223
 Other;Noncomparable imports and rest-of-the-world adjustment [1];592;46;712;33;167;827;2320;170;207;623;708;995;1523;371;1536;660;144;484;1773;86;43;480;339;1682;2374;577;3192;38;396;429;1113;12007;182;2177;647;8;41;341;62;1071;428;9339;1459;2079;20386;1794;192;771;1752;578;395;947;2386;2529;1186;111;501;...;...;151;...;220;161;644;1365;310;16816;3105;946;...;...;111727;...;111725;-48866;...;...;4799;...;...;126261;-192215;...;...;...;...;...;...;...;...;...;...;...;...;-110022;0;-110022;1703
;Sum of Intermediate Selected;189050;16672;86079;45059;26099;203186;631205;72011;76145;190602;205360;212814;191290;75718;384365;142280;50267;81291;528500;43592;15280;118263;57459;446682;437928;141079;396379;35340;56393;67074;256571;87324;29461;33878;159553;18486;12481;87919;29468;112876;61969;273177;56148;318566;302912;310901;100493;129408;561873;104749;73177;79506;501850;171438;194319;40112;75169;266903;234554;64392;53935;51831;51924;57292;268999;224149;210174;81151;29944;539780;131386;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Intermediate Not Selected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Total Intermediate;189050;16672;86079;45059;26099;203186;631205;72011;76145;190602;205360;212814;191290;75718;384365;142280;50267;81291;528500;43592;15280;118263;57459;446682;437928;141079;396379;35340;56393;67074;256571;87324;29461;33878;159553;18486;12481;87919;29468;112876;61969;273177;56148;318566;302912;310901;100493;129408;561873;104749;73177;79506;501850;171438;194319;40112;75169;266903;234554;64392;53935;51831;51924;57292;268999;224149;210174;81151;29944;539780;131386;...;...;11673662;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
 V001;Compensation of employees;25152;17256;6184;10135;41081;61218;485879;22968;27999;31620;83714;74612;98963;28832;65784;54493;22195;41260;84472;13686;9237;30533;34292;14555;57194;38477;401445;55844;66192;71233;245598;39894;19004;5073;74954;14196;4802;64407;34894;74166;25801;107220;28608;208092;218164;182256;625;6885;66659;36630;109825;231830;507588;209901;287793;20456;109851;340895;263910;93967;66918;35164;37362;43127;233094;312268;190247;119665;61110;1014429;84938;...;...;7908768;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
 V002;Taxes on production and imports, less subsidies;-3876;1366;26199;4751;2590;54607;8401;744;1260;2326;2687;3021;5136;942;2315;1863;354;1151;22284;720;277;1862;960;2785;5429;1802;173199;33659;17470;36093;90830;15652;-364;630;2777;1046;2086;2076;715;1821;3360;35450;1693;14223;4663;21990;3563;170035;17149;18448;19215;4607;8617;9383;5992;2738;6120;7209;6721;8471;1120;5720;10606;12542;44419;24953;...;...;-3044;...;-15629;...;...;979978;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
 V003;Gross operating surplus;92660;11125;139399;27637;43727;115497;302753;4459;18723;29643;41462;40877;84906;17336;48625;45331;7501;24138;87563;3789;328;22284;13922;135879;176267;20281;272927;17271;23220;8207;120241;13243;12625;8210;42114;10907;6602;23073;11724;101675;43561;215104;39321;196484;-24474;182463;31725;1159207;231811;132018;86167;20465;196553;29718;99564;12122;2275;85072;17147;3266;13323;22097;27348;28299;62838;103506;125651;73233;8541;112943;23392;...;...;5588888;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Sum of Value Added Selected;113935;29747;171782;42523;87398;231322;797033;28171;47982;63589;127863;118509;189005;47110;116724;101686;30050;66549;194319;18194;9842;54679;49174;153218;238890;60560;847571;106774;106881;115533;456669;68788;31265;13912;119845;26149;13491;89556;47333;177662;72722;357774;69622;418798;198352;386708;35912;1336128;315619;187096;215207;256902;712757;249002;393349;35316;118246;433175;287778;105704;81361;62981;75316;83968;340351;440727;315898;192899;66607;1127372;92701;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Sum of Value Added Not Selected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Total Value Added;113935;29747;171782;42523;87398;231322;797033;28171;47982;63589;127863;118509;189005;47110;116724;101686;30050;66549;194319;18194;9842;54679;49174;153218;238890;60560;847571;106774;106881;115533;456669;68788;31265;13912;119845;26149;13491;89556;47333;177662;72722;357774;69622;418798;198352;386708;35912;1336128;315619;187096;215207;256902;712757;249002;393349;35316;118246;433175;287778;105704;81361;62981;75316;83968;340351;440727;315898;192899;66607;1127372;92701;14477631;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;14477634;...
;Total Industry Output;302985;46419;257862;87582;113496;434508;1428239;100181;124127;254191;333223;331323;380295;122828;501089;243966;80317;147839;722818;61786;25121;172942;106633;599901;676818;201639;1243950;142114;163274;182607;713239;156112;60726;47790;279399;44635;25972;177476;76802;290538;134691;630952;125770;737365;501264;697609;136405;1465536;877492;291845;288384;336408;1214607;420440;587668;75429;193415;700078;522332;170096;135296;114812;127240;141260;609349;664876;526072;274050;96550;1667152;224087;...;...;...;9750504;496928;885773;537913;688679;34452;1510408;-2228950;526072;10010;70758;71886;272278;11358;16073;71337;1411371;271154;43872;25758;...;...;...;26151297
Legend / Footnotes:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Consists of noncomparable imports in the intermediate section of the use table and noncomparable imports and the rest-of-the-world adjustment in the final use section of the use table.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Note. Selected data with zero values are not shown.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Note. Detail may not add to total due to rounding.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
